49374 143730
18359 43698 195
18359 45817 217
18360 28110 90
18360 46284 89
18360 46285 95
18361 5854 470
18361 18362 229
18361 20353 237
18362 18361 229
18362 18363 898
18362 30593 130
18363 18362 898
18363 33010 665
18363 48491 69
18364 18365 79
18365 14089 63
18365 17253 62
18365 18364 79
18366 13957 113
18367 13956 140
18368 7758 286
18368 12220 504
18368 13956 230
18368 18369 69
18369 3308 100
18369 18368 69
18369 27813 124
18369 33570 168
18370 3308 129
18370 13968 78
18370 32407 99
18371 18372 254
18371 32641 277
18371 32642 48
18372 15771 122
18372 18371 254
18372 18507 93
18373 15771 130
18373 18508 98
18373 34696 93
18374 8705 272
18374 18256 147
18374 779 78
18375 18376 338
18375 21351 86
18375 1357 27
18376 18375 338
18376 18377 227
18376 19166 94
18376 19167 94
18377 18376 227
18377 21352 93
18377 34158 95
18377 42553 206
18378 8706 207
18378 21354 104
18378 33433 104
18378 42556 189
18379 8715 98
18379 18380 250
18379 33489 100
18380 8716 95
18380 18379 250
18380 33683 104
18381 18382 62
18382 18381 62
18382 30288 171
18382 1542 50
18383 18384 201
18383 18415 50
18383 21371 49
18384 18383 201
18384 18385 210
18384 21357 103
18385 18384 210
18385 18387 50
18385 21364 50
18386 4858 310
18386 21359 99
18386 26123 75
18387 18385 50
18387 18388 402
18387 23859 50
18388 18387 402
18388 18389 201
18388 20734 99
18388 20735 101
18389 18388 201
18389 18390 204
18389 21365 100
18389 33912 99
18390 18389 204
18390 18391 197
18390 21366 101
18390 42266 101
18391 18390 197
18391 18392 202
18391 19329 100
18391 19330 98
18392 18391 202
18392 18393 201
18392 27556 99
18393 18392 201
18393 18394 101
18393 21361 148
18393 27493 99
18394 18393 101
18394 18395 100
18394 34027 134
18395 18394 100
18395 18409 15
18395 25092 100
18396 18397 154
18396 21362 101
18396 40826 400
18396 42998 101
18397 18396 154
18397 21363 103
18397 41550 50
18398 11172 35
18398 28001 62
18398 43583 39
18399 6626 90
18399 18400 90
18399 23548 199
18399 23549 158
18400 18399 90
18400 18401 89
18400 27073 213
18400 27114 199
18401 18400 89
18401 18402 90
18401 27074 202
18401 27168 199
18402 18401 90
18402 18403 88
18402 21109 199
18402 21110 202
18403 18402 88
18403 18404 90
18403 20574 199
18403 20575 202
18404 18403 90
18404 27169 201
18404 34736 75
18405 18406 178
18405 21367 97
18405 33879 100
18406 18405 178
18406 18407 205
18406 20310 102
18406 20311 99
18407 18406 205
18407 18408 272
18407 21368 106
18407 34288 107
18408 18407 272
18408 21369 110
18408 33544 101
18409 18395 15
18409 18410 50
18409 25091 182
18410 18182 180
18410 18409 50
18410 24089 204
18410 24090 169
18411 9461 132
18411 18412 90
18411 29314 168
18411 48392 204
18412 18411 90
18412 18413 87
18412 28658 143
18412 28659 168
18413 8943 84
18413 18412 87
18413 34089 168
18413 45304 158
18414 13704 143
18414 18415 403
18414 21370 101
18414 43564 101
18415 18383 50
18415 18414 403
18415 29546 52
18416 18417 206
18416 23774 284
18416 35738 105
18417 18416 206
18417 23774 83
18417 35739 47
18418 12559 222
18418 15554 85
18418 32158 246
18419 2986 139
18419 18420 117
18419 37353 152
18420 18419 117
18421 18422 97
18421 25515 127
18421 30192 124
18422 18421 97
18423 2892 302
18423 2991 81
18423 24644 81
18424 2996 106
18424 17317 227
18424 17318 331
18425 3002 74
18425 18426 104
18425 25404 114
18425 36632 111
18426 18425 104
18426 18427 79
18426 33336 68
18427 18426 79
18428 13444 104
18429 18430 69
18430 18429 69
18430 18431 318
18430 34174 61
18431 18430 318
18431 18432 107
18431 24064 124
18432 15428 123
18432 18431 107
18432 22244 170
18433 15428 122
18433 25514 164
18433 30195 110
18434 2998 345
18434 8822 90
18434 18435 154
18435 18434 154
18436 23920 243
18436 24149 157
18436 30930 245
18437 18438 320
18437 23771 83
18437 35737 205
18437 47436 40
18438 2977 115
18438 18437 320
18438 18439 202
18438 22953 166
18439 2978 115
18439 18438 202
18439 18440 220
18439 32152 167
18440 6532 181
18440 18439 220
18440 21190 167
18440 48879 108
18441 2980 115
18441 2982 325
18441 23769 100
18441 46166 11
18442 2983 82
18442 3177 202
18442 19542 101
18443 3003 91
18443 29799 155
18443 33020 188
18444 1937 126
18444 18445 51
18444 34077 63
18445 18444 51
18445 18446 75
18445 22300 73
18446 18445 75
18446 18447 61
18446 33011 80
18447 18446 61
18447 18448 166
18447 28709 73
18448 8817 454
18448 18447 166
18448 18449 81
18448 24193 69
18449 10610 404
18449 10659 434
18449 18448 81
18450 661 293
18451 6966 217
18451 7350 301
18451 30852 108
18452 6967 74
18452 17559 281
18452 18453 12
18453 18452 12
18453 18624 85
18453 41599 153
18454 6969 106
18454 11587 100
18454 31419 106
18454 41599 153
18455 6972 107
18455 7351 205
18455 11587 198
18455 29197 106
18456 6974 68
18456 30025 54
18456 37796 75
18457 18458 404
18457 24005 118
18457 44217 100
18458 6976 81
18458 18457 404
18458 18463 59
18459 18460 174
18459 18462 65
18459 34257 30
18460 6979 108
18460 18459 174
18460 27930 118
18461 18462 113
18462 6978 42
18462 18459 65
18462 18461 113
18463 18458 59
18463 18464 135
18463 34256 56
18464 18463 135
18464 18465 138
18464 19004 201
18465 18464 138
18465 18466 131
18465 44120 202
18466 6977 142
18466 18465 131
18466 34254 93
18467 18468 103
18467 62 156
18467 894 170
18468 18467 103
18468 30043 139
18468 30203 78
18468 43499 175
18469 15863 43
18469 36907 425
18469 47105 371
18470 3531 77
18470 18471 180
18470 32784 69
18471 18470 180
18471 18472 61
18471 29471 256
18472 18471 61
18472 18473 47
18472 29484 40
18473 18472 47
18473 18474 40
18473 30318 154
18474 3520 133
18474 18473 40
18474 20360 109
18475 39127 166
18475 16757 119
18475 22846 173
18476 18477 97
18476 39817 367
18476 991 83
18477 18476 97
18477 28114 225
18477 29874 373
18478 29995 233
18478 37290 21
18478 37423 20
18478 48849 158
18479 10300 431
18479 12264 105
18479 29450 107
18480 18481 245
18480 25949 96
18480 25950 451
18481 13572 259
18481 18480 245
18481 18482 266
18482 18481 266
18482 20345 167
18482 20346 408
18483 4725 218
18483 13519 99
18483 28549 136
18484 12898 200
18484 18485 122
18484 20337 147
18485 14153 97
18485 18484 122
18485 20336 196
18486 15217 654
18486 18487 86
18486 22697 530
18486 48287 316
18487 15553 105
18487 18486 86
18487 27222 246
18488 3421 96
18488 32325 92
18488 47926 176
18489 2918 283
18489 9392 152
18489 18626 98
18489 41525 110
18490 7356 205
18490 11590 199
18490 27394 98
18490 41524 104
18491 2003 61
18491 25687 219
18491 29538 165
18492 3890 164
18492 7355 108
18492 18493 106
18492 20876 127
18493 18492 106
18493 18494 90
18493 34858 125
18494 4106 81
18494 18493 90
18494 18495 247
18494 43309 125
18495 18494 247
18495 18496 161
18495 25686 125
18495 27396 128
18496 18495 161
18496 18497 92
18496 27396 279
18497 2003 78
18497 18496 92
18497 29538 65
18498 18499 287
18498 27397 94
18498 612 101
18499 18498 287
18499 658 36
18499 38171 194
18500 18501 229
18500 19162 104
18500 19163 96
18500 46083 338
18501 18500 229
18501 29170 95
18501 33230 106
18501 42541 205
18502 8701 211
18502 29171 113
18502 33231 114
18502 42541 189
18503 3445 155
18503 8701 125
18503 29172 115
18503 32856 114
18504 3445 242
18504 18505 228
18504 24729 112
18504 24730 111
18505 18504 228
18505 18506 145
18505 29173 101
18505 32315 113
18506 18505 145
18506 29173 246
18506 42974 36
18506 45608 66
18507 18372 93
18507 18508 214
18507 32041 106
18508 18373 98
18508 18507 214
18508 33232 116
18509 16448 97
18509 38327 151
18509 47770 99
18510 9624 82
18510 18511 15
18510 34008 186
18511 18510 15
18511 18512 97
18511 34006 188
18512 8126 245
18512 18511 97
18512 24900 56
18513 14636 464
18513 18514 172
18513 21030 86
18514 18513 172
18514 18515 143
18514 38777 88
18515 18514 143
18515 165 86
18515 48835 79
18516 10843 86
18516 18517 427
18516 34507 83
18517 10845 91
18517 18516 427
18517 18518 256
18517 30010 82
18518 10438 94
18518 18517 256
18518 21710 79
18519 17177 200
18520 8602 45
18521 11770 87
18522 8315 111
18522 18523 189
18522 29083 92
18523 8316 101
18523 18522 189
18523 18524 104
18523 23540 92
18524 8317 99
18524 18523 104
18524 18525 224
18524 27104 92
18525 8318 98
18525 18524 224
18525 18526 271
18525 34482 92
18526 8319 102
18526 15871 369
18526 18525 271
18526 21121 91
18527 5763 92
18527 15870 389
18527 15871 301
18528 18529 261
18528 33442 77
18528 33443 74
18528 42210 71
18529 5766 55
18529 5876 93
18529 18528 261
18530 18531 164
18531 18530 164
18531 20352 1509
18531 48490 109
18532 14202 103
18532 18533 99
18533 18532 99
18533 31881 237
18534 2830 425
18534 28383 178
18534 37604 20
18534 46675 124
18535 9933 404
18535 18337 125
18535 26388 177
18536 17674 107
18536 25305 98
18536 31293 103
18537 18538 362
18537 25316 98
18537 34351 102
18538 18537 362
18538 18539 202
18538 22929 100
18538 22930 99
18539 18538 202
18539 18540 200
18539 33223 100
18540 18539 200
18540 21246 99
18540 21247 101
18541 25306 98
18541 31700 98
18541 45399 257
18542 6094 667
18542 18543 62
18542 26218 46
18543 18542 62
18544 6420 43
18545 41614 44
18546 6422 34
18547 6423 34
18548 23389 97
18549 10529 158
18549 14916 158
18549 33784 694
18549 34583 191
18550 10529 228
18550 18551 154
18550 32090 148
18551 6570 172
18551 18550 154
18551 18552 115
18552 18551 115
18553 2780 162
18553 7631 401
18553 15422 158
18554 45657 33
18554 45658 32
18554 46158 196
18555 15130 46
18555 18556 46
18555 37963 50
18555 37966 15
18556 18555 46
18556 18557 130
18556 37960 372
18557 18556 130
18557 37960 59
18557 37967 52
18558 18559 46
18559 9333 76
18559 15706 209
18559 15872 279
18559 18558 46
18560 12062 209
18560 17021 189
18560 19799 130
18560 36940 106
18561 5684 98
18561 11970 101
18561 27915 222
18562 4048 439
18562 4054 132
18562 15250 224
18563 18564 270
18563 26374 52
18563 1146 211
18564 18563 270
18564 28413 53
18564 1146 62
18565 46276 51
18565 38608 266
18566 18567 62
18566 24439 107
18566 28349 108
18567 18566 62
18567 24440 108
18567 31636 109
18567 45296 187
18568 18569 53
18569 18568 53
18569 18570 274
18569 24431 97
18569 34427 100
18570 13081 119
18570 16172 112
18570 18569 274
18570 24432 139
18570 45122 127
18571 4255 204
18571 9219 195
18571 24433 78
18571 24576 79
18572 5867 207
18572 6318 257
18572 24436 115
18573 4627 74
18573 21450 127
18573 30080 446
18574 18083 203
18574 24442 107
18574 31756 107
18575 13661 176
18575 22386 178
18575 24443 108
18575 28068 370
18576 22416 225
18576 22417 153
18576 40681 95
18577 18578 27
18577 34434 147
18577 40683 99
18578 18577 27
18578 18579 101
18578 31822 198
18579 18578 101
18579 18580 63
18579 24444 98
18579 33968 99
18580 18579 63
18581 17152 116
18581 32002 202
18581 36717 80
18582 5659 113
18582 18583 114
18582 31825 201
18582 34405 201
18583 18582 114
18583 18584 114
18583 23793 200
18583 23794 200
18584 18583 114
18584 24984 201
18584 24985 200
18584 38757 122
18585 49258 103
18585 24328 108
18585 38758 270
18586 21422 73
18586 21423 85
18586 42633 134
18587 18588 117
18587 23422 29
18587 23423 157
18588 18587 117
18589 18590 228
18589 34437 81
18589 38382 243
18590 18589 228
18590 734 198
18590 739 1060
18591 43778 278
18591 1445 406
18591 38382 210
18592 7569 74
18592 18593 79
18592 30660 142
18593 18592 79
18593 23988 36
18593 39048 41
18593 39049 27
18594 1895 210
18594 18931 108
18594 1532 242
18595 1532 55
18596 13006 207
18596 18597 142
18596 18661 232
18597 18596 142
18597 18598 145
18597 18661 366
18598 7762 164
18598 16260 115
18598 18597 145
18599 7764 96
18599 15026 100
18599 16260 201
18599 18600 202
18600 7760 96
18600 15022 100
18600 18599 202
18600 18601 201
18601 15023 101
18601 18600 201
18601 18602 78
18602 18601 78
18602 18603 124
18602 37896 145
18603 13911 30
18603 18602 124
18603 49054 65
18604 1902 110
18604 6812 75
18604 32330 283
18604 36697 182
18605 8041 104
18605 18606 55
18605 18939 328
18605 20840 151
18606 18605 55
18606 18607 36
18606 18940 327
18607 8281 204
18607 18606 36
18607 285 60
18608 3692 92
18608 18941 325
18608 30554 110
18608 285 104
18609 7503 77
18609 18610 40
18609 25841 110
18610 18226 187
18610 18609 40
18610 18611 109
18611 18227 183
18611 18610 109
18611 18612 91
18612 9285 98
18612 18228 185
18612 18611 91
18612 42516 136
18613 9285 88
18613 9866 93
18613 18614 95
18613 24522 128
18614 18613 95
18614 18615 92
18614 34293 127
18615 9867 96
18615 18614 92
18615 18616 63
18616 12521 123
18616 18615 63
18616 25441 201
18616 43303 202
18617 12521 96
18617 14591 95
18617 18232 190
18617 20567 193
18618 18234 205
18618 26449 259
18618 276 34
18618 34872 138
18619 12901 94
18619 18242 201
18619 18620 32
18620 9384 151
18620 13803 70
18620 18619 32
18621 13800 49
18621 18246 110
18621 48916 69
18622 17946 66
18622 18248 106
18622 18623 37
18623 6982 60
18623 9388 152
18623 18622 37
18624 9389 152
18624 18453 85
18624 18625 14
18625 4895 49
18625 17560 282
18625 18624 14
18626 9391 151
18626 18489 98
18626 34860 13
18627 8964 353
18627 15078 102
18627 31813 251
18627 41466 126
18628 18629 54
18628 21400 251
18628 41466 71
18629 18628 54
18629 18630 26
18629 42050 353
18630 18629 26
18630 18631 75
18630 22264 305
18631 17529 341
18631 18630 75
18631 29052 306
18631 41467 97
18632 18633 96
18632 26330 306
18632 41467 92
18632 42046 290
18633 18632 96
18633 18634 89
18633 31396 305
18633 42058 370
18634 17532 354
18634 18633 89
18634 18635 109
18634 31397 302
18635 12885 106
18635 17533 356
18635 18634 109
18635 27086 302
18636 9347 235
18636 17535 291
18636 18637 112
18636 41464 121
18637 9348 236
18637 18636 112
18637 42065 287
18637 45564 114
18638 8254 100
18638 9349 236
18638 18639 98
18638 42054 286
18639 9350 236
18639 11891 288
18639 18638 98
18639 18640 99
18640 9351 235
18640 18639 99
18640 42056 286
18640 804 101
18641 2257 98
18641 9353 234
18641 11121 286
18641 804 100
18642 2257 112
18642 9354 234
18642 17536 286
18642 18643 111
18643 9159 288
18643 9355 234
18643 14000 107
18643 18642 111
18644 9357 233
18644 14000 117
18644 17537 286
18644 18645 104
18645 9358 234
18645 17538 286
18645 18644 104
18645 18646 90
18646 9359 233
18646 17539 286
18646 18645 90
18646 18647 95
18647 9360 234
18647 18646 95
18647 18648 97
18648 9361 232
18648 11181 95
18648 18647 97
18649 4468 93
18649 9363 232
18649 11181 94
18650 9366 232
18650 10063 96
18650 17546 201
18650 18651 110
18651 9367 234
18651 17547 199
18651 18650 110
18651 18652 98
18652 9368 234
18652 17548 200
18652 17603 97
18652 18651 98
18653 9370 233
18653 17549 200
18653 17603 99
18653 18654 96
18654 9371 233
18654 17550 200
18654 18653 96
18654 18655 99
18655 9372 233
18655 17551 200
18655 18654 99
18655 18656 91
18656 9373 233
18656 17552 200
18656 18655 91
18656 41452 97
18657 6870 94
18657 9375 233
18657 17554 169
18657 18658 97
18658 9376 233
18658 17555 169
18658 18657 97
18658 18659 102
18659 9377 231
18659 18658 102
18659 275 118
18660 275 207
18661 18596 232
18661 18597 366
18661 33873 193
18662 3057 98
18662 13191 324
18662 14835 112
18663 3047 83
18663 14829 100
18663 14832 340
18664 3043 100
18664 14828 102
18664 18665 220
18665 18664 220
18666 3055 82
18666 14812 98
18666 18667 94
18667 18666 94
18668 2900 242
18668 28382 202
18668 34609 28
18669 14814 90
18669 18670 86
18670 15987 89
18670 18669 86
18671 3065 124
18671 14815 85
18671 15987 80
18672 9282 237
18672 14825 71
18672 18673 70
18673 9283 219
18673 9284 297
18673 18672 70
18674 13852 311
18675 18676 149
18675 19214 55
18675 19215 270
18676 18675 149
18677 18678 403
18677 22822 99
18677 27959 212
18677 39210 102
18678 4529 112
18678 8570 202
18678 18677 403
18678 27457 99
18679 4531 110
18679 8570 199
18679 18680 202
18679 26979 101
18680 4532 108
18680 18679 202
18680 18681 197
18680 33423 45
18681 4533 108
18681 18680 197
18681 28903 115
18681 42530 198
18682 4535 107
18682 42530 197
18682 43810 73
18682 45050 217
18683 4544 191
18683 14470 93
18683 15915 241
18683 18684 93
18684 4545 214
18684 15916 263
18684 18683 93
18684 18685 76
18685 4545 311
18685 18684 76
18685 29386 103
18686 3418 730
18686 4547 113
18686 29388 112
18686 35632 208
18687 18688 180
18688 15449 146
18688 18687 180
18688 26441 126
18689 3847 118
18689 8710 108
18689 18690 111
18689 28946 167
18690 3430 113
18690 3848 120
18690 18689 111
18690 28947 164
18691 4870 256
18691 18692 116
18691 21048 92
18692 4871 255
18692 13920 117
18692 18691 116
18692 26413 166
18693 16044 151
18693 25294 101
18693 42666 50
18694 6361 94
18694 18695 45
18694 19372 91
18694 23495 56
18695 18694 45
18696 4783 101
18696 24877 201
18696 25292 102
18697 17089 199
18697 17090 99
18697 18698 104
18697 24878 202
18698 18697 104
18698 18699 201
18698 19375 101
18698 25285 99
18699 18698 201
18699 18700 202
18699 19376 101
18699 24267 98
18700 18699 202
18700 19377 93
18700 19378 287
18700 25286 99
18701 18702 75
18701 22623 76
18701 22624 74
18702 18701 75
18703 18704 201
18703 19379 98
18703 25283 100
18704 18703 201
18704 19380 99
18704 25284 99
18705 11311 100
18705 19384 94
18705 19581 200
18706 18707 403
18706 25291 104
18706 47447 98
18707 18706 403
18707 19381 97
18707 22896 104
18708 2591 193
18708 19387 100
18708 22028 100
18708 35529 108
18709 18710 105
18709 23063 94
18709 30785 202
18710 18709 105
18710 18711 122
18710 38029 73
18711 18710 122
18711 18712 350
18711 38028 183
18712 18711 350
18712 26943 363
18712 38027 48
18713 2038 440
18713 10721 313
18713 10728 77
18714 10728 75
18714 18715 47
18714 21937 105
18715 18714 47
18715 18716 25
18715 26652 215
18716 18715 25
18716 18717 75
18716 26659 101
18717 11374 100
18717 18716 75
18717 27338 218
18717 31464 90
18718 11374 63
18718 18719 50
18718 42879 67
18719 18718 50
18720 8586 480
18720 18721 159
18720 42719 81
18721 4167 86
18721 15084 136
18721 18720 159
18722 4142 84
18722 15084 266
18722 18723 167
18723 4143 74
18723 18722 167
18723 18724 95
18724 18723 95
18724 22698 195
18724 37591 42
18724 46550 172
18725 18726 61
18726 2493 198
18726 18359 439
18726 18725 61
18726 39265 431
18727 2493 120
18727 6560 82
18727 34514 122
18728 13154 107
18728 17924 107
18728 43627 215
18728 47886 86
18729 13154 204
18729 18730 90
18729 23726 88
18730 18729 90
18730 18731 153
18730 29152 315
18730 31526 322
18731 4153 101
18731 18730 153
18731 18732 122
18731 29153 111
18732 4154 105
18732 5031 126
18732 18731 122
18732 31460 109
18733 4156 103
18733 5031 124
18733 18734 123
18733 31461 111
18734 4157 105
18734 10592 127
18734 18733 123
18734 26142 107
18735 5670 103
18735 11950 104
18735 31459 130
18736 4003 204
18736 4150 110
18736 11950 204
18736 19032 108
18737 4161 103
18737 12073 200
18737 18738 202
18737 29289 109
18738 4162 106
18738 18737 202
18738 18739 99
18738 22536 109
18739 18738 99
18740 34092 175
18740 38959 705
18740 38962 146
18741 2486 80
18741 18742 345
18741 27044 161
18742 18741 345
18742 31381 35
18742 46969 55
18743 2499 62
18743 12730 94
18743 18746 35
18744 18745 119
18745 2498 97
18745 18744 119
18745 18746 203
18745 22555 100
18746 18743 35
18746 18745 203
18746 27049 100
18747 2495 93
18747 18748 215
18747 27047 106
18748 2496 97
18748 18747 215
18748 18749 406
18748 20663 102
18749 2497 97
18749 18748 406
18749 27048 101
18750 6008 150
18750 27046 110
18750 44965 91
18751 6008 41
18752 12174 132
18752 23046 172
18752 23047 232
18753 12731 202
18754 6087 84
18754 18755 139
18754 21631 78
18755 6088 83
18755 18754 139
18755 18756 147
18755 21632 79
18756 18755 147
18757 3084 92
18757 17308 41
18757 18758 300
18758 2713 42
18758 8206 59
18758 18757 300
18759 18760 90
18760 10663 443
18760 10666 220
18760 18759 90
18761 18762 72
18762 10813 76
18762 18761 72
18762 21943 247
18763 10813 66
18763 30617 249
18763 32243 67
18764 9643 97
18764 39190 57
18764 41171 199
18764 41417 98
18765 18766 390
18765 29023 201
18765 32557 100
18766 18765 390
18766 29025 200
18766 29100 150
18766 35605 13
18767 29117 149
18767 29118 101
18767 35605 14
18767 47597 219
18768 9068 141
18768 16118 202
18768 45395 110
18769 45394 30
18770 18771 98
18770 23478 387
18770 24101 107
18771 18770 98
18772 2475 53
18772 18773 84
18772 30429 51
18773 2476 48
18773 18772 84
18773 24063 50
18774 31119 50
18774 42576 228
18774 45777 29
18775 18776 110
18775 29885 206
18775 30856 197
18775 43588 67
18776 18775 110
18776 18777 118
18776 26244 204
18776 26245 194
18777 3798 195
18777 18776 118
18777 18778 126
18777 31005 194
18778 3799 22
18778 18777 126
18778 20519 186
18779 14667 124
18779 25352 101
18779 25353 66
18780 14667 77
18780 14668 195
18780 36969 110
18781 6216 374
18781 11511 109
18781 13281 89
18781 30851 88
18782 6216 378
18782 20429 125
18782 20430 229
18783 5892 231
18783 8321 310
18783 18784 101
18784 18783 101
18784 18785 98
18784 19322 171
18784 46719 25
18785 5890 226
18785 6611 99
18785 18784 98
18785 29083 94
18786 5888 226
18786 6611 112
18786 18787 104
18786 23540 95
18787 5887 226
18787 18786 104
18787 18788 103
18787 27104 94
18788 5885 226
18788 18787 103
18788 18789 120
18789 3859 108
18789 18788 120
18789 18790 249
18789 34482 94
18790 3860 115
18790 15868 295
18790 18789 249
18790 21121 94
18791 2085 91
18791 7636 138
18791 27809 211
18792 18793 189
18793 18792 189
18793 18794 282
18793 33416 92
18794 18793 282
18794 18795 98
18794 33416 371
18795 4028 124
18795 18794 98
18795 18796 97
18795 19748 205
18796 18795 97
18796 18797 129
18797 18796 129
18797 33415 40
18798 1784 64
18799 9701 84
18799 12973 134
18799 18800 247
18800 18799 247
18801 18802 345
18801 21183 34
18801 21184 101
18802 18801 345
18802 21184 311
18802 24861 98
18803 5498 136
18803 19173 79
18803 42179 123
18804 18805 47
18805 10838 125
18805 18804 47
18805 42659 157
18806 15401 236
18807 4112 156
18808 4058 142
18809 18810 147
18810 18809 147
18810 22242 287
18810 29476 55
18811 4668 56
18811 20216 41
18811 42104 319
18812 4668 39
18813 3559 170
18814 18815 119
18814 30989 121
18814 33517 80
18815 18814 119
18816 18817 51
18816 33516 77
18816 33670 76
18817 18816 51
18818 13755 62
18818 18819 62
18818 27804 58
18819 18818 62
18820 18821 75
18821 13788 121
18821 18820 75
18821 18822 99
18822 18821 99
18822 25201 93
18822 25202 244
18823 18824 112
18824 18823 112
18824 23677 101
18824 23678 100
18825 18826 122
18825 25229 132
18825 33525 99
18826 18825 122
18826 18827 252
18826 30996 328
18827 18826 252
18827 18828 113
18827 30996 85
18827 33193 89
18828 18827 113
18828 20280 202
18828 20281 199
18828 47022 48
18829 19508 94
18829 30264 398
18829 37329 4
18830 18831 82
18830 29140 258
18830 45837 256
18831 18830 82
18831 18832 83
18831 27213 349
18832 3272 77
18832 18831 83
18832 27213 308
18833 16670 97
18833 21240 101
18833 21241 252
18834 6487 98
18834 6488 349
18834 33521 73
18835 42211 92
18835 1095 94
18835 45210 252
18836 4739 120
18836 36233 45
18837 18838 37
18837 22495 126
18837 31052 190
18838 18837 37
18839 2766 194
18839 18840 172
18839 27921 133
18840 18839 172
18841 18842 82
18841 21533 127
18841 42835 442
18842 6227 412
18842 18841 82
18842 20748 220
18843 15583 192
18843 15584 96
18843 18844 168
18843 25938 91
18844 15584 306
18844 18843 168
18844 18845 72
18845 11469 131
18845 18844 72
18845 45992 274
18846 6879 91
18846 21709 44
18846 34898 21
18847 3240 81
18847 6879 84
18847 30616 203
18847 30743 216
18848 18849 96
18848 23445 446
18848 24159 522
18849 18848 96
18849 18850 92
18849 31943 404
18850 18849 92
18850 27781 93
18850 48977 355
18851 3238 196
18851 3239 88
18851 18852 83
18851 29002 232
18852 14340 83
18852 18851 83
18852 27060 223
18852 27061 231
18853 18854 367
18853 41457 83
18853 1593 448
18854 18853 367
18854 18855 45
18854 32243 42
18855 18854 45
18856 18857 52
18857 18856 52
18857 21303 198
18857 41638 234
18858 16368 52
18859 16733 56
18859 33799 50
18859 44167 138
18860 44166 264
18861 2585 130
18861 21481 298
18861 37995 84
18862 18863 33
18862 25815 89
18862 45868 183
18863 17602 457
18863 18862 33
18863 25509 86
18864 13005 183
18864 18865 153
18864 20873 83
18865 18864 153
18865 18866 141
18865 48232 105
18866 18865 141
18866 18867 98
18866 31346 79
18867 16444 218
18867 16445 380
18867 18866 98
18868 18875 30
18868 19353 86
18869 13726 135
18869 18870 393
18869 25510 99
18869 26519 75
18870 15736 151
18870 18869 393
18870 18871 109
18870 25511 100
18871 15737 150
18871 18870 109
18871 18872 109
18871 25512 100
18872 15738 151
18872 18871 109
18872 18873 100
18872 19698 98
18873 15739 150
18873 18872 100
18873 18874 105
18873 25011 100
18874 15740 150
18874 18873 105
18874 23866 101
18875 4433 102
18875 18868 30
18875 19352 57
18876 4433 101
18876 14762 100
18876 15742 203
18876 27567 200
18877 14762 100
18877 15743 202
18877 18878 96
18877 27504 200
18878 15744 203
18878 18877 96
18878 18879 103
18878 33511 199
18879 15745 202
18879 18878 103
18879 18880 105
18879 25104 200
18880 18214 96
18880 18879 105
18880 24076 201
18880 24077 98
18881 9418 100
18881 15747 202
18881 18882 99
18881 29315 201
18882 15748 201
18882 18881 99
18882 18883 101
18882 28668 201
18883 8960 96
18883 15749 203
18883 18882 101
18883 33512 200
18884 18885 188
18884 18886 62
18884 25513 39
18885 18884 188
18885 25508 94
18885 27244 83
18886 18884 62
18886 29884 19
18886 40780 398
18887 4629 98
18887 10931 198
18887 14557 98
18888 4634 66
18888 7055 256
18888 14563 62
18889 27660 77
18889 28224 75
18889 38057 98
18890 18891 61
18890 30959 82
18890 45047 162
18891 7856 56
18891 18890 61
18891 18892 90
18892 18891 90
18892 18893 14
18892 43839 169
18893 18892 14
18893 18894 71
18893 29011 107
18894 18893 71
18895 18896 228
18895 25390 85
18895 25391 255
18896 18895 228
18896 18897 93
18896 19444 55
18897 18896 93
18897 18898 92
18897 25391 168
18898 18897 92
18898 18899 82
18898 32605 124
18899 18898 82
18899 18900 88
18899 19304 238
18900 18899 88
18900 18901 103
18900 25392 272
18901 18900 103
18901 18902 102
18901 25392 375
18902 18901 102
18902 20288 397
18902 20289 203
18903 12719 96
18903 18904 159
18903 23649 187
18904 18903 159
18904 28843 180
18904 38630 88
18905 18907 46
18905 24293 178
18905 28850 104
18906 18907 104
18906 28849 149
18906 29780 251
18907 18905 46
18907 18906 104
18907 25393 220
18908 14028 396
18908 18909 100
18908 22966 348
18909 12638 393
18909 12721 93
18909 18908 100
18910 8415 55
18910 14389 105
18910 17822 344
18910 18911 282
18911 8097 561
18911 8590 437
18911 18910 282
18912 2191 104
18912 18913 104
18912 23400 244
18912 33098 125
18913 18912 104
18913 18914 90
18913 21168 127
18913 21169 240
18914 16344 86
18914 18913 90
18914 22889 127
18914 22890 90
18915 9254 132
18915 10365 69
18915 25246 120
18916 2752 186
18916 8199 128
18916 9254 74
18917 2754 159
18917 7097 348
18917 8199 94
18917 32750 134
18918 18919 270
18918 31759 101
18918 42172 100
18918 38707 178
18919 18918 270
18919 25219 101
18919 42198 165
18920 2755 206
18920 18921 124
18920 23349 136
18921 2756 191
18921 18920 124
18921 18922 109
18921 20687 129
18922 2757 142
18922 18921 109
18922 18923 150
18922 32699 177
18923 2758 100
18923 18922 150
18923 18924 97
18923 31163 141
18924 2759 67
18924 18923 97
18924 28342 138
18925 2759 30
18925 18926 98
18925 20018 234
18925 20019 140
18926 13141 243
18926 18925 98
18926 18927 111
18926 26315 146
18927 13142 236
18927 18926 111
18927 18928 100
18927 33269 121
18928 13143 193
18928 18927 100
18928 18929 112
18928 33270 194
18929 18928 112
18929 38718 51
18929 38719 33
18930 30727 166
